,frame_name,lp_cat,lp_all,lp_ratio,lp_cat_canny,lp_all_canny,lp_ratio_canny,blur,cat_x,cat_y,face_size,size_ratio,eyes,ears,nose,img_ctr,num_eye,num_ear,num_nose,eye_x1,eye_y1,eye_x2,eye_y2,eye_w1,eye_w2,eye_w,eye_h1,eye_h2,eye_h,eye_size,eye_ratio,nose_x,nose_y,ear_w1,ear_w2,ear_w,ear_h1,ear_h2,ear_h,video,avg_face,nose_to_ctr,avg_to_ctr,prob
39,IMG_0395.MOV_406.jpg,1.914820030569691,29.87375642508377,0.06409706242907888,4929.5572422863015,8382.536557388567,0.5880746488294494,0,0.4765625,0.4694444444444445,254016.0,0.1225,"[(1003, 642, 117, 147), (1238, 663, 147, 121)]","[[1351, -5, 326, 416], [844, 99, 239, 290], [1887, 15, 30, 158]]","[[1126, 866, 124, 83]]","(960.0, 540.0)",2,3,1,1003,642,1238,663,117,147,132.0,147,121,134.0,17688.0,0.0696334089191232,1126,866,326,239,198.33333333333334,416,290,288.0,IMG_0395,253424.28703703705,365.83056187256966,354.4449509462846,0.48
100,IMG_0395.MOV_621.jpg,1.8385669077245428,29.30111014546253,0.06274734638370884,3342.7473141759106,7714.412175402179,0.4333119929518987,0,0.4270833333333333,0.3435185185185185,286225.0,0.13803288966049382,"[(926, 500, 111, 114), (1152, 544, 151, 93)]","[[711, 67, 359, 259], [1258, 125, 306, 274]]","[[1024, 735, 113, 72]]","(960.0, 540.0)",2,2,1,926,500,1152,544,111,151,131.0,114,93,103.5,13558.5,0.04737007598916936,1024,735,359,306,332.5,259,274,266.5,IMG_0395,253424.28703703705,205.23401277566055,354.4449509462846,0.475
61,IMG_0395.MOV_483.jpg,1.831879393250968,19.21041613380422,0.09535865233171303,2314.3557031790538,4285.01452244867,0.5401045179787435,0,0.525,0.38333333333333336,311364.0,0.15015625,"[(1076, 530, 147, 157), (1366, 587, 144, 125)]","[[982, 58, 240, 313], [1486, 115, 290, 379]]","[[1213, 800, 124, 73]]","(960.0, 540.0)",2,2,1,1076,530,1366,587,147,144,145.5,157,125,141.0,20515.5,0.06588912012949474,1213,800,240,290,265.0,313,379,346.0,IMG_0395,253424.28703703705,362.7795473838072,354.4449509462846,0.47
60,IMG_0395.MOV_479.jpg,1.9605232247379287,24.679300207139736,0.0794399844518585,3178.625924556213,6960.114646094,0.4566916044033916,0,0.5135416666666667,0.4722222222222222,270400.0,0.13040123456790126,"[(1089, 668, 114, 128)]","[[960, 119, 246, 359], [1446, 257, 311, 294]]","[[1180, 906, 135, 66]]","(960.0, 540.0)",1,2,1,1089,668,0,0,114,0,114.0,128,0,128.0,14592.0,0.05396449704142012,1180,906,246,311,278.5,359,294,326.5,IMG_0395,253424.28703703705,427.0316147546924,354.4449509462846,0.465
41,IMG_0395.MOV_414.jpg,1.8635997069923682,32.146549251599765,0.05797199856216687,3103.323191016013,8315.147135356181,0.3732132625555857,0,0.4770833333333334,0.275,389376.0,0.18777777777777774,"[(1303, 482, 167, 144), (982, 502, 230, 171)]","[[1358, -12, 335, 288], [813, 23, 283, 294], [1889, 1, 30, 136]]","[[1197, 721, 133, 82]]","(960.0, 540.0)",2,3,1,1303,482,982,502,167,230,198.5,144,171,157.5,31263.75,0.08029192862426035,1197,721,335,283,216.0,288,294,239.33333333333334,IMG_0395,253424.28703703705,298.2113344593059,354.4449509462846,0.45
4,IMG_0395.MOV_14.jpg,1.9581442906445488,40.783653095681494,0.048012969462313634,14070.580861833258,13296.257780500298,1.0582361664549362,0,0.5458333333333333,0.175,148225.0,0.0714819637345679,"[(1112, 299, 100, 82), (1278, 319, 113, 71)]","[[1018, 36, 171, 183], [1367, 33, 197, 202]]","[[1186, 429, 88, 60]]","(960.0, 540.0)",2,2,1,1112,299,1278,319,100,113,106.5,82,71,76.5,8147.25,0.054965424186203406,1186,429,171,197,184.0,183,202,192.5,IMG_0395,253424.28703703705,251.7876089087785,354.4449509462846,0.45
2,IMG_0395.MOV_8.jpg,1.7560755825908818,41.708079260931676,0.042103966754369664,27547.082553619628,12924.000930816228,2.1314670821429496,0,0.5416666666666666,0.1787037037037037,145924.0,0.07037229938271605,"[(1101, 303, 94, 75), (1269, 316, 109, 70)]","[[1008, 37, 166, 183], [1353, 35, 199, 200]]","[[1172, 431, 90, 58]]","(960.0, 540.0)",2,2,1,1101,303,1269,316,94,109,101.5,75,70,72.5,7358.75,0.050428647789260164,1172,431,166,199,182.5,183,200,191.5,IMG_0395,253424.28703703705,238.37994882120435,354.4449509462846,0.43
90,IMG_0395.MOV_587.jpg,2.8674935771750216,39.03811765170206,0.07345368449264865,36577.17786554702,7040.172935873073,5.195494229860276,0,0.409375,0.2175925925925926,184900.0,0.08916859567901235,"[(841, 365, 118, 77), (1061, 385, 135, 72)]","[[711, 67, 218, 245], [1164, 109, 241, 264]]","[[946, 487, 89, 77]]","(960.0, 540.0)",2,2,1,841,365,1061,385,118,135,126.5,77,72,74.5,9424.25,0.050969442942130884,946,487,218,241,229.5,245,264,254.5,IMG_0395,253424.28703703705,54.817880294662984,354.4449509462846,0.425
42,IMG_0395.MOV_417.jpg,1.7608380494395706,30.610623024927772,0.05752375729189279,2752.9054370447448,8345.251301115468,0.3298768770063015,0,0.4880208333333334,0.18611111111111112,384400.0,0.1853780864197531,"[(1309, 378, 210, 141), (985, 405, 229, 160)]","[[1400, -8, 310, 236], [862, 4, 250, 269], [1891, 0, 27, 139]]","[[1177, 601, 175, 166]]","(960.0, 540.0)",2,3,1,1309,378,985,405,210,229,219.5,141,160,150.5,33034.75,0.08593847554630593,1177,601,310,250,195.66666666666666,236,269,214.66666666666666,IMG_0395,253424.28703703705,225.41073621280776,354.4449509462846,0.415
1,IMG_0395.MOV_5.jpg,1.7104460731769404,40.44392425933963,0.042291793007251284,28601.26660134232,14236.85618581884,2.008959437957356,0,0.5458333333333333,0.18703703703703706,123201.0,0.0594140625,"[(1098, 297, 97, 76), (1268, 308, 108, 75)]","[[991, 29, 192, 180], [1346, 33, 205, 191]]","[[1166, 428, 97, 57]]","(960.0, 540.0)",2,2,1,1098,297,1268,308,97,108,102.5,76,75,75.5,7738.75,0.06281401936672593,1166,428,192,205,198.5,180,191,185.5,IMG_0395,253424.28703703705,234.47814397081873,354.4449509462846,0.415
